Entity_Name,Year,Quarter,Type,Registered_User
jaipur,2021,4,District,231804892
bhopal,2021,4,District,134176541
rangareddy,2021,4,District,111354739
central delhi,2021,4,District,111134916
medchal malkajgiri,2021,4,District,98780634
khordha,2021,4,District,94505879
mumbai suburban,2021,4,District,92733033
karnataka,2021,1,State,446386067
maharashtra,2021,1,State,414663156
telangana,2021,1,State,344524720
andhra-pradesh,2021,1,State,252897520
rajasthan,2021,1,State,197613190
delhi,2021,1,State,153262017
madhya-pradesh,2021,1,State,141962355
uttar-pradesh,2021,1,State,125113392
tamil-nadu,2021,1,State,105654335
west-bengal,2021,1,State,94881920
maharashtra,2021,2,State,451642000
karnataka,2021,2,State,434220728
telangana,2021,2,State,407038008
andhra-pradesh,2021,2,State,308074047
rajasthan,2021,2,State,219064839
delhi,2021,2,State,165923251
madhya-pradesh,2021,2,State,149107164
uttar-pradesh,2021,2,State,134759203
west-bengal,2021,2,State,114735910
tamil-nadu,2021,2,State,109642301
maharashtra,2021,3,State,629354434
karnataka,2021,3,State,627057983
telangana,2021,3,State,519231311
andhra-pradesh,2021,3,State,379443461
rajasthan,2021,3,State,309392341
delhi,2021,3,State,232765111
madhya-pradesh,2021,3,State,215763559
uttar-pradesh,2021,3,State,178006453
tamil-nadu,2021,3,State,155702465
west-bengal,2021,3,State,147293608
maharashtra,2021,4,State,791953296
karnataka,2021,4,State,775017225
telangana,2021,4,State,647247410
andhra-pradesh,2021,4,State,460158739
rajasthan,2021,4,State,372260169
delhi,2021,4,State,285181212
madhya-pradesh,2021,4,State,279180022
uttar-pradesh,2021,4,State,231770591
tamil-nadu,2021,4,State,197699571
west-bengal,2021,4,State,181585567
500001,2022,1,Pincode,248675599
560001,2022,1,Pincode,224793308
411004,2022,1,Pincode,209101358
302016,2022,1,Pincode,148956604
462008,2022,1,Pincode,119378084
110006,2022,1,Pincode,112708284
444510,2022,1,Pincode,69862188
800001,2022,1,Pincode,68427326
600003,2022,1,Pincode,62446149
751001,2022,1,Pincode,58525215
500001,2022,2,Pincode,296874552
560001,2022,2,Pincode,271515853
411004,2022,2,Pincode,262731186
302016,2022,2,Pincode,181570316
110006,2022,2,Pincode,139136098
462008,2022,2,Pincode,137837715
444510,2022,2,Pincode,93575752
800001,2022,2,Pincode,90260337
600003,2022,2,Pincode,75241472
751001,2022,2,Pincode,69262961
500034,2022,3,Pincode,832279716
110006,2022,3,Pincode,222465526
302012,2022,3,Pincode,220682742
411033,2022,3,Pincode,217102802
480001,2022,3,Pincode,164538285
560027,2022,3,Pincode,160449902
800001,2022,3,Pincode,143978604
400070,2022,3,Pincode,137051260
751001,2022,3,Pincode,123281915
700039,2022,3,Pincode,82900479
500034,2022,4,Pincode,967508435
560027,2022,4,Pincode,290033166
411033,2022,4,Pincode,263248580
110006,2022,4,Pincode,258183697
302012,2022,4,Pincode,255709582
480001,2022,4,Pincode,240053791
400070,2022,4,Pincode,180508440
800001,2022,4,Pincode,167166031
751001,2022,4,Pincode,140210762
700039,2022,4,Pincode,119193886
bengaluru urban,2022,1,District,648380838
pune,2022,1,District,424149132
hyderabad,2022,1,District,372711414
jaipur,2022,1,District,262950613
bhopal,2022,1,District,159892411
central delhi,2022,1,District,128309915
rangareddy,2022,1,District,127675017
medchal malkajgiri,2022,1,District,110893187
mumbai suburban,2022,1,District,104595313
khordha,2022,1,District,104052705
bengaluru urban,2022,2,District,786978117
pune,2022,2,District,520321567
hyderabad,2022,2,District,446470234
jaipur,2022,2,District,314511010
bhopal,2022,2,District,185588829
rangareddy,2022,2,District,161888380
central delhi,2022,2,District,159034619
medchal malkajgiri,2022,2,District,134114768
mumbai suburban,2022,2,District,125227570
khordha,2022,2,District,124986765
hyderabad,2022,3,District,1018658174
bengaluru urban,2022,3,District,738035161
pune,2022,3,District,505018506
jaipur,2022,3,District,377469909
central delhi,2022,3,District,243139962
mumbai suburban,2022,3,District,197724164
patna,2022,3,District,188665398
khordha,2022,3,District,182514532
chhindwara,2022,3,District,169367916
rangareddy,2022,3,District,169029273
hyderabad,2022,4,District,1133829812
bengaluru urban,2022,4,District,876647100
pune,2022,4,District,544687754
jaipur,2022,4,District,404922774
central delhi,2022,4,District,280960656
mumbai suburban,2022,4,District,248827345
chhindwara,2022,4,District,245710341
patna,2022,4,District,217434851
khordha,2022,4,District,208260666
rangareddy,2022,4,District,191136402
maharashtra,2022,1,State,914034474
karnataka,2022,1,State,871491582
telangana,2022,1,State,738227734
andhra-pradesh,2022,1,State,512551128
rajasthan,2022,1,State,428412367
madhya-pradesh,2022,1,State,324994841
delhi,2022,1,State,322756794
uttar-pradesh,2022,1,State,265667698
tamil-nadu,2022,1,State,224110596
west-bengal,2022,1,State,209592928
maharashtra,2022,2,State,1106838091
karnataka,2022,2,State,1052596973
telangana,2022,2,State,893219421
andhra-pradesh,2022,2,State,592485983
rajasthan,2022,2,State,505579444
delhi,2022,2,State,400641254
madhya-pradesh,2022,2,State,375012167
uttar-pradesh,2022,2,State,334574825
tamil-nadu,2022,2,State,270746288
west-bengal,2022,2,State,253740267
telangana,2022,3,State,1466326979
maharashtra,2022,3,State,1178858844
karnataka,2022,3,State,971473253
rajasthan,2022,3,State,601666891
andhra-pradesh,2022,3,State,567168811
madhya-pradesh,2022,3,State,557941577
delhi,2022,3,State,465514601
uttar-pradesh,2022,3,State,405825688
odisha,2022,3,State,302537623
tamil-nadu,2022,3,State,300286876
telangana,2022,4,State,1636684525
maharashtra,2022,4,State,1343249905
karnataka,2022,4,State,1135908362
madhya-pradesh,2022,4,State,695515817
rajasthan,2022,4,State,678266555
andhra-pradesh,2022,4,State,608916512
delhi,2022,4,State,503857486
uttar-pradesh,2022,4,State,477319360
bihar,2022,4,State,349039888
odisha,2022,4,State,348915793
