Entity_Name,Year,Quarter,Type,Count,Amount,State
south andaman,2021,4,District,558571,1694794708.0093331,andaman-&-nicobar-islands
north and middle andaman,2021,4,District,53115,156486112.28732437,andaman-&-nicobar-islands
nicobars,2021,4,District,24437,81329281.0269996,andaman-&-nicobar-islands
744101,2022,1,Pincode,209941,615978080.6944855,andaman-&-nicobar-islands
744103,2022,1,Pincode,157230,399715980.1391735,andaman-&-nicobar-islands
744105,2022,1,Pincode,122716,321850608.7396423,andaman-&-nicobar-islands
744102,2022,1,Pincode,74883,193336549.94178736,andaman-&-nicobar-islands
744104,2022,1,Pincode,32471,72915521.83614868,andaman-&-nicobar-islands
744211,2022,1,Pincode,30272,86955570.58655271,andaman-&-nicobar-islands
744107,2022,1,Pincode,25379,58776727.62636636,andaman-&-nicobar-islands
744202,2022,1,Pincode,24022,68519268.77643085,andaman-&-nicobar-islands
744112,2022,1,Pincode,23471,55469783.6622991,andaman-&-nicobar-islands
744301,2022,1,Pincode,17630,56879992.28461884,andaman-&-nicobar-islands
south andaman,2022,1,District,705512,1872991195.902684,andaman-&-nicobar-islands
north and middle andaman,2022,1,District,60059,161624878.52274162,andaman-&-nicobar-islands
nicobars,2022,1,District,29177,94414127.64974089,andaman-&-nicobar-islands
744101,2022,2,Pincode,252722,702122365.3629664,andaman-&-nicobar-islands
744103,2022,2,Pincode,230746,561168775.5622396,andaman-&-nicobar-islands
744105,2022,2,Pincode,176252,415796516.6034926,andaman-&-nicobar-islands
744102,2022,2,Pincode,101551,240451609.192299,andaman-&-nicobar-islands
744104,2022,2,Pincode,47069,94335358.34017953,andaman-&-nicobar-islands
744211,2022,2,Pincode,40245,108788594.62847154,andaman-&-nicobar-islands
744107,2022,2,Pincode,36402,82851064.58195859,andaman-&-nicobar-islands
744112,2022,2,Pincode,32548,70178309.12885833,andaman-&-nicobar-islands
744202,2022,2,Pincode,27750,84587978.8405464,andaman-&-nicobar-islands
744301,2022,2,Pincode,26170,74485462.68044695,andaman-&-nicobar-islands
south andaman,2022,2,District,954875,2357326563.362071,andaman-&-nicobar-islands
north and middle andaman,2022,2,District,72573,195693167.78757268,andaman-&-nicobar-islands
nicobars,2022,2,District,43769,132900618.93062323,andaman-&-nicobar-islands
744104,2022,3,Pincode,497273,951370315.4090765,andaman-&-nicobar-islands
744103,2022,3,Pincode,259994,545653686.3062732,andaman-&-nicobar-islands
744101,2022,3,Pincode,213864,444967255.802143,andaman-&-nicobar-islands
744105,2022,3,Pincode,208055,438754611.5375265,andaman-&-nicobar-islands
744102,2022,3,Pincode,114416,239581586.790242,andaman-&-nicobar-islands
744107,2022,3,Pincode,40466,85492008.49477127,andaman-&-nicobar-islands
744112,2022,3,Pincode,38350,74030563.48358011,andaman-&-nicobar-islands
744211,2022,3,Pincode,37918,89671382.06901146,andaman-&-nicobar-islands
744202,2022,3,Pincode,29918,85509005.84576747,andaman-&-nicobar-islands
744301,2022,3,Pincode,27668,70002553.35288173,andaman-&-nicobar-islands
south andaman,2022,3,District,1455255,2967719400.8499093,andaman-&-nicobar-islands
north and middle andaman,2022,3,District,79574,211581970.34202653,andaman-&-nicobar-islands
nicobars,2022,3,District,49550,131330400.94545083,andaman-&-nicobar-islands
