Entity_Name,Year,Quarter,Type,Registered_User
karnataka,2021,1,State,16872002
andhra-pradesh,2021,1,State,15866819
telangana,2021,1,State,12440844
uttar-pradesh,2021,1,State,12250529
west-bengal,2021,1,State,11986511
rajasthan,2021,1,State,10857689
gujarat,2021,1,State,10446756
tamil-nadu,2021,1,State,10063395
delhi,2021,1,State,9900103
maharashtra,2021,2,State,26565470
karnataka,2021,2,State,18006966
andhra-pradesh,2021,2,State,16950434
telangana,2021,2,State,13266158
uttar-pradesh,2021,2,State,13105377
west-bengal,2021,2,State,12809639
rajasthan,2021,2,State,11645052
gujarat,2021,2,State,11194859
tamil-nadu,2021,2,State,10756403
delhi,2021,2,State,10575678
maharashtra,2021,3,State,28473797
karnataka,2021,3,State,19273115
andhra-pradesh,2021,3,State,18190069
telangana,2021,3,State,14190436
uttar-pradesh,2021,3,State,14072052
west-bengal,2021,3,State,13747279
rajasthan,2021,3,State,12541009
gujarat,2021,3,State,12039461
tamil-nadu,2021,3,State,11532845
delhi,2021,3,State,11328366
maharashtra,2021,4,State,30382308
karnataka,2021,4,State,20533384
andhra-pradesh,2021,4,State,19421125
telangana,2021,4,State,15112933
uttar-pradesh,2021,4,State,15041364
west-bengal,2021,4,State,14674430
rajasthan,2021,4,State,13420570
gujarat,2021,4,State,12876268
tamil-nadu,2021,4,State,12305518
delhi,2021,4,State,12088384
201301,2022,1,Pincode,698600
110059,2022,1,Pincode,588266
560068,2022,1,Pincode,545827
421302,2022,1,Pincode,518716
500072,2022,1,Pincode,476073
122001,2022,1,Pincode,465984
110092,2022,1,Pincode,460951
110086,2022,1,Pincode,406863
121004,2022,1,Pincode,400283
560078,2022,1,Pincode,388154
201301,2022,2,Pincode,735907
110059,2022,2,Pincode,619737
560068,2022,2,Pincode,573310
421302,2022,2,Pincode,547501
500072,2022,2,Pincode,499269
122001,2022,2,Pincode,490709
110092,2022,2,Pincode,484816
110086,2022,2,Pincode,429566
121004,2022,2,Pincode,422488
560078,2022,2,Pincode,407066
201301,2022,3,Pincode,774591
110059,2022,3,Pincode,652328
560068,2022,3,Pincode,601656
421302,2022,3,Pincode,577754
500072,2022,3,Pincode,523196
122001,2022,3,Pincode,516313
110092,2022,3,Pincode,509260
110086,2022,3,Pincode,453393
121004,2022,3,Pincode,445822
201009,2022,3,Pincode,428994
201301,2022,4,Pincode,814008
110059,2022,4,Pincode,685596
560068,2022,4,Pincode,630255
421302,2022,4,Pincode,608005
500072,2022,4,Pincode,547282
122001,2022,4,Pincode,542209
110092,2022,4,Pincode,534009
110086,2022,4,Pincode,477514
121004,2022,4,Pincode,468607
201009,2022,4,Pincode,451153
bengaluru urban,2022,1,District,12707664
pune,2022,1,District,8331582
thane,2022,1,District,5196050
jaipur,2022,1,District,5133527
mumbai suburban,2022,1,District,5017556
hyderabad,2022,1,District,4306136
ahmadabad,2022,1,District,3897869
rangareddy,2022,1,District,3722676
north twenty four parganas,2022,1,District,3224459
surat,2022,1,District,3210535
bengaluru urban,2022,2,District,13342916
pune,2022,2,District,8757249
thane,2022,2,District,5471749
jaipur,2022,2,District,5409763
mumbai suburban,2022,2,District,5281053
hyderabad,2022,2,District,4519625
ahmadabad,2022,2,District,4105172
rangareddy,2022,2,District,3911372
north twenty four parganas,2022,2,District,3397791
surat,2022,2,District,3385398
bengaluru urban,2022,3,District,13997602
pune,2022,3,District,9194074
thane,2022,3,District,5757165
jaipur,2022,3,District,5696726
mumbai suburban,2022,3,District,5555095
hyderabad,2022,3,District,4739891
ahmadabad,2022,3,District,4319512
rangareddy,2022,3,District,4105107
north twenty four parganas,2022,3,District,3578500
surat,2022,3,District,3567767
bengaluru urban,2022,4,District,14654455
pune,2022,4,District,9622338
thane,2022,4,District,6042267
jaipur,2022,4,District,5975863
mumbai suburban,2022,4,District,5831539
hyderabad,2022,4,District,4962214
ahmadabad,2022,4,District,4530853
rangareddy,2022,4,District,4296707
north twenty four parganas,2022,4,District,3755017
surat,2022,4,District,3747780
maharashtra,2022,1,State,32178480
karnataka,2022,1,State,21716655
andhra-pradesh,2022,1,State,20597997
telangana,2022,1,State,15981088
uttar-pradesh,2022,1,State,15960778
west-bengal,2022,1,State,15564695
rajasthan,2022,1,State,14264781
gujarat,2022,1,State,13662366
tamil-nadu,2022,1,State,13030708
delhi,2022,1,State,12799896
maharashtra,2022,2,State,33873993
karnataka,2022,2,State,22830610
andhra-pradesh,2022,2,State,21715010
uttar-pradesh,2022,2,State,16837340
telangana,2022,2,State,16801940
west-bengal,2022,2,State,16409518
rajasthan,2022,2,State,15053100
gujarat,2022,2,State,14405223
tamil-nadu,2022,2,State,13719467
delhi,2022,2,State,13480522
maharashtra,2022,3,State,35618971
