Year,Quarter,State,Count,Amount
2021,2,himachal-pradesh,9483902,16495634539.809265
2021,2,jammu-&-kashmir,10027819,22813755428.591667
2021,2,jharkhand,54002145,104432643311.4578
2021,2,karnataka,530649046,837887151230.0475
2021,2,kerala,47191033,74226806436.15654
2021,2,ladakh,399716,1427259095.4703188
2021,2,lakshadweep,11384,27383463.65795153
2021,2,madhya-pradesh,223314680,425500768035.6147
2021,2,maharashtra,573616486,915115055623.6942
2021,2,manipur,3086275,7889827962.396642
2021,2,meghalaya,909594,2193617254.8906007
2021,2,mizoram,394340,1122874473.302092
2021,2,nagaland,1130791,3156293963.7818727
2021,2,odisha,131824337,245864117477.27313
2021,2,puducherry,3751387,6498834696.543896
2021,2,punjab,32171248,69531058562.61539
2021,2,rajasthan,287477039,561702765169.2399
2021,2,sikkim,976714,2424899579.675297
2021,2,tamil-nadu,146158442,263487341026.54968
2021,2,telangana,495867544,1027958332797.5837
2021,2,tripura,1744429,3468154361.036276
2021,2,uttar-pradesh,241949131,482172489166.3819
2021,2,uttarakhand,24000432,40990817874.83831
2021,2,west-bengal,141897437,279434811058.56366
2021,3,andaman-&-nicobar-islands,449764,1310024395.8016043
2021,3,andhra-pradesh,432032550,984218035564.1278
2021,3,arunachal-pradesh,1906967,5678124175.298822
2021,3,assam,33504441,75700499273.30743
2021,3,bihar,187671113,397062760956.4112
2021,3,chandigarh,6649378,11815883004.693304
2021,3,chhattisgarh,64237938,104606108262.77599
2021,3,dadra-&-nagar-haveli-&-daman-&-diu,3129470,4305939102.791507
2021,3,delhi,238760608,383858316548.2813
2021,3,goa,6467763,10478425592.93637
2021,3,gujarat,149248407,272624626113.58472
2021,3,haryana,140459693,240827092259.2075
2021,3,himachal-pradesh,12064167,21310262071.127953
2021,3,jammu-&-kashmir,13151041,31598443648.03206
2021,3,jharkhand,70795702,121891015118.8527
2021,3,karnataka,753296539,1133234739157.6106
2021,3,kerala,63028266,101686161773.1297
2021,3,ladakh,590987,2213984743.9345894
2021,3,lakshadweep,13370,38803163.69876816
2021,3,madhya-pradesh,311443334,504412603851.53375
2021,3,maharashtra,792874060,1159257305167.44
2021,3,manipur,3941396,10406861028.904852
2021,3,meghalaya,1097731,2769000451.527974
2021,3,mizoram,478529,1473748650.2119527
2021,3,nagaland,1356792,3987416848.0054426
2021,3,odisha,177362674,303780718933.03253
2021,3,puducherry,5121726,8729974431.014471
2021,3,punjab,42533489,85992560840.61195
2021,3,rajasthan,400284753,710511328542.4835
2021,3,sikkim,1160594,2989336863.808392
2021,3,tamil-nadu,204357404,365207323053.9275
2021,3,telangana,622886768,1178289126292.2605
2021,3,tripura,2081200,4364133768.18148
2021,3,uttar-pradesh,306543384,557080841279.9292
2021,3,uttarakhand,31042284,50527496783.564224
2021,3,west-bengal,181712988,362457066256.5122
2021,4,andaman-&-nicobar-islands,636123,1932610101.3236575
2021,4,andhra-pradesh,522254003,1156264447083.991
2021,4,arunachal-pradesh,2390598,6943510352.611341
2021,4,assam,46020361,104184967893.2152
2021,4,bihar,245126945,519371614068.7628
2021,4,chandigarh,7898903,14373583510.61845
2021,4,chhattisgarh,84717494,136399110518.81273
2021,4,dadra-&-nagar-haveli-&-daman-&-diu,4157085,5565839386.33066
2021,4,delhi,292683359,488695314062.39105
2021,4,goa,11088759,18627257115.86965
2021,4,gujarat,182987325,342382580053.62683
2021,4,haryana,169686975,309240599300.4604
2021,4,himachal-pradesh,14666864,26136220500.625763
2021,4,jammu-&-kashmir,16790628,38926237425.77166
2021,4,jharkhand,96009042,166017119003.70563
2021,4,karnataka,931725438,1375471324349.876
2021,4,kerala,81823741,123342136943.36359
2021,4,ladakh,630187,2153535138.780269
2021,4,lakshadweep,15470,50998185.528381005
2021,4,madhya-pradesh,404308084,656887492404.5118
2021,4,maharashtra,1010731502,1475358473128.516
2021,4,manipur,4687439,12658472038.211823
2021,4,meghalaya,1440193,3848765400.186154
2021,4,mizoram,553329,1770665741.5230424
2021,4,nagaland,1631483,4939083784.136478
2021,4,odisha,233925366,385251049689.921
2021,4,puducherry,6368810,10423651801.230515
2021,4,punjab,52359360,110710126241.99988
2021,4,rajasthan,487621597,903934418544.3195
2021,4,sikkim,1584345,4196783261.635808
2021,4,tamil-nadu,259155976,443723952594.8034
2021,4,telangana,775989773,1463758189500.914
2021,4,tripura,2520693,5496929464.299445
2021,4,uttar-pradesh,406157932,773890970072.224
2021,4,uttarakhand,40361280,66148108159.421005
2021,4,west-bengal,225029560,462218037262.0971
2022,1,andaman-&-nicobar-islands,794748,2129030202.0751665
2022,1,andhra-pradesh,582603911,1294320646554.8677
2022,1,arunachal-pradesh,2804068,7828091628.087355
2022,1,assam,58889886,132280437892.70291
2022,1,bihar,284390434,611411695731.1445
2022,1,chandigarh,8600491,15174991549.84
2022,1,chhattisgarh,97413292,157847045454.8356
2022,1,dadra-&-nagar-haveli-&-daman-&-diu,4802803,6237048367.26239
2022,1,delhi,330999861,536964920836.2888
2022,1,goa,12214098,19816445402.846107
2022,1,gujarat,210547146,392548092253.5491
2022,1,haryana,191988609,341304042652.77734
2022,1,himachal-pradesh,16088180,26518447439.93283
2022,1,jammu-&-kashmir,16245311,33147863626.159058
2022,1,jharkhand,110911210,194700207087.1677
2022,1,karnataka,1057855407,1566649488305.8718
2022,1,kerala,95280965,139988942464.69424
